b'1039695,0.07,-0.07,-0.17,0.04,-0.06,0.51,-6.49,-4.44,-13.52,23.68,101527.84,-17.23,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1039898,-0.13,0.07,-0.05,0.04,-0.06,0.51,-6.49,-4.42,-13.52,23.68,101526.94,-17.26,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1040102,-0.02,0.01,-0.00,0.04,-0.06,0.51,-6.49,-4.43,-13.53,23.68,101531.12,-17.39,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1040307,-0.05,-0.07,-0.14,0.04,-0.06,0.51,-6.50,-4.45,-13.54,23.68,101531.89,-17.47,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1040513,-0.11,-0.10,-0.11,0.04,-0.06,0.51,-6.51,-4.45,-13.55,23.68,101530.90,-17.47,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1040720,-0.00,-0.02,-0.03,0.04,-0.06,0.51,-6.51,-4.46,-13.55,23.67,101529.33,-17.30,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1040928,-0.13,-0.20,0.08,0.04,-0.06,0.51,-6.50,-4.46,-13.55,23.67,101531.47,-17.62,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1041137,-0.05,0.03,0.06,0.04,-0.06,0.51,-6.49,-4.45,-13.56,23.66,101528.70,-17.23,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1041336,0.03,-0.00,0.09,0.04,-0.06,0.51,-6.50,-4.46,-13.56,23.67,101530.70,-17.50,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1041520,-0.16,-0.03,-0.03,0.04,-0.06,0.51,-6.50,-4.47,-13.56,23.68,101530.03,-17.31,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1041705,0.01,0.07,-0.05,0.04,-0.06,0.51,-6.52,-4.48,-13.57,23.69,101530.78,-17.50,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1041891,0.04,0.01,0.05,0.04,-0.06,0.51,-6.50,-4.48,-13.57,23.69,101527.34,-17.22,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1042078,-0.05,0.22,0.09,0.04,-0.06,0.51,-6.51,-4.47,-13.57,23.69,101532.01,-17.48,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1042265,-0.00,-0.03,-0.15,0.04,-0.06,0.51,-6.52,-4.48,-13.58,23.69,101531.60,-17.49,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1042454,-0.06,-0.05,-0.17,0.04,-0.05,0.51,-6.50,-4.49,-13.59,23.69,101528.29,-17.32,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1042647,-0.03,-0.19,-0.09,0.04,-0.06,0.51,-6.52,-4.48,-13.59,23.69,101529.42,-17.28,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1042837,-0.03,0.03,0.05,0.04,-0.06,0.51,-6.53,-4.46,-13.60,23.69,101529.43,-17.39,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1043028,-0.02,-0.14,-0.05,0.04,-0.06,0.50,-6.53,-4.46,-13.61,23.69,101530.74,-17.40,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1043221,-0.16,-0.11,-0.00,0.04,-0.06,0.51,-6.53,-4.45,-13.61,23.69,101528.87,-17.31,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1043414,-0.06,0.18,-0.05,0.04,-0.06,0.51,-6.52,-4.44,-13.61,23.69,101525.87,-17.15,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1043607,-0.08,-0.00,0.09,0.04,-0.06,0.51,-6.52,-4.46,-13.61,23.69,101530.61,-17.44,0.00,0.00,0.000000,0.000000,0,\r\n'
b'1043801,-0.05,0.04,0.01,0.04,-0.06,0.50,-6.51,-4.46,-13.61,23.68,101530.66,-17.36,0.00,0.00,0.000000,0.000000,0,\r\n'
